Year,Region,Season,Crop,N,P,K,pH,Temperature,Humidity,Rainfall,SoilType,Irrigation,Moisture,CropHealthIndex,CropHealthLabel
2015,Haryana,Rabi,Wheat,108.03,60.35,35.99,6.91,16.56,80.33,45.65,Clay,Irrigated,22.5,0.57,Moderate
2015,Haryana,Rabi,Wheat,129.02,64.39,61.53,6.42,12.68,65.25,69.92,Loamy,Rainfed,22.51,0.68,Moderate
2015,Haryana,Rabi,Wheat,88.01,20.0,34.74,6.42,21.57,56.92,16.41,Clay,Rainfed,17.63,0.42,Poor
2015,Haryana,Rabi,Wheat,82.03,57.38,26.8,7.72,20.63,74.5,26.92,Sandy,Irrigated,23.61,0.48,Poor
2015,Haryana,Rabi,Mustard,124.76,26.08,34.01,6.8,10.0,78.54,45.42,Sandy,Rainfed,19.31,0.45,Poor
2015,Haryana,Rabi,Mustard,102.41,57.72,47.12,6.24,16.87,54.32,44.3,Sandy,Irrigated,10.0,0.54,Moderate
2015,Haryana,Rabi,Mustard,102.31,67.69,40.68,7.83,16.0,57.52,112.05,Loamy,Irrigated,26.64,0.6,Moderate
2015,Haryana,Rabi,Mustard,80.7,60.29,50.58,5.92,17.91,71.45,104.75,Clay,Irrigated,16.52,0.42,Poor
2015,Haryana,Rabi,Barley,101.48,74.43,26.2,5.95,14.19,72.18,110.09,Loamy,Rainfed,20.46,0.56,Moderate
2015,Haryana,Rabi,Barley,73.91,60.05,43.67,6.33,14.9,44.33,46.44,Clay,Rainfed,12.69,0.41,Poor
2015,Haryana,Rabi,Barley,110.08,42.05,32.07,6.75,14.81,74.55,10.57,Clay,Irrigated,15.05,0.42,Poor
2015,Haryana,Rabi,Barley,86.01,53.21,38.88,6.69,11.41,84.65,51.41,Clay,Rainfed,26.54,0.59,Moderate
2015,Haryana,Kharif,Rice,53.96,27.27,53.67,7.62,28.41,59.24,169.0,Sandy,Irrigated,17.67,0.46,Poor
2015,Haryana,Kharif,Rice,97.44,35.67,23.94,6.9,30.93,90.0,224.78,Loamy,Irrigated,23.96,0.4,Poor
2015,Haryana,Kharif,Rice,117.63,49.88,54.8,6.84,28.06,54.18,247.49,Loamy,Rainfed,16.96,0.64,Moderate
2015,Haryana,Kharif,Rice,82.49,29.26,49.26,7.75,31.62,54.63,172.39,Sandy,Rainfed,11.1,0.43,Poor
2015,Haryana,Kharif,Bajra,82.72,50.73,31.69,6.94,28.05,60.13,156.3,Sandy,Rainfed,18.46,0.45,Poor
2015,Haryana,Kharif,Bajra,110.02,35.34,40.99,7.18,27.28,59.23,210.22,Sandy,Irrigated,11.81,0.46,Poor
