Year,Region,Season,Crop,N,P,K,pH,Temperature,Humidity,Rainfall,SoilType,Irrigation,Moisture,CropHealthIndex,CropHealthLabel
2015,Rajasthan,Rabi,Wheat,114.87,52.56,38.16,6.81,15.92,32.9,0.0,Sandy,Rainfed,10.32,0.43,Poor
2015,Rajasthan,Rabi,Wheat,108.17,24.46,50.29,7.04,12.67,51.96,10.87,Clay,Irrigated,17.0,0.53,Moderate
2015,Rajasthan,Rabi,Wheat,74.41,40.63,40.26,7.06,20.0,60.14,0.0,Clay,Rainfed,13.4,0.42,Poor
2015,Rajasthan,Rabi,Wheat,81.54,29.72,30.24,7.33,12.73,43.88,0.0,Sandy,Irrigated,10.0,0.47,Poor
2015,Rajasthan,Rabi,Mustard,114.01,41.37,41.22,8.0,16.48,51.85,15.67,Clay,Irrigated,15.36,0.54,Moderate
2015,Rajasthan,Rabi,Mustard,87.46,77.19,47.08,6.52,12.89,49.65,120.83,Clay,Rainfed,21.72,0.65,Moderate
2015,Rajasthan,Rabi,Mustard,95.05,48.88,46.21,6.89,16.87,34.3,20.91,Sandy,Rainfed,10.0,0.47,Poor
2015,Rajasthan,Rabi,Mustard,116.68,56.89,39.3,5.97,16.83,55.6,93.23,Loamy,Irrigated,19.06,0.56,Moderate
2015,Rajasthan,Rabi,Barley,121.06,49.41,46.82,6.81,15.81,37.23,6.76,Loamy,Rainfed,10.8,0.54,Moderate
2015,Rajasthan,Rabi,Barley,91.31,45.36,42.22,6.56,13.45,50.96,31.51,Sandy,Rainfed,19.42,0.45,Poor
2015,Rajasthan,Rabi,Barley,103.93,65.48,25.14,6.93,14.44,45.6,107.88,Clay,Irrigated,21.81,0.53,Moderate
2015,Rajasthan,Rabi,Barley,145.98,44.56,35.54,7.53,18.2,44.83,106.37,Clay,Rainfed,25.05,0.57,Moderate
2015,Rajasthan,Kharif,Rice,81.63,34.94,32.32,6.78,28.74,47.18,126.22,Loamy,Rainfed,17.39,0.5,Poor
2015,Rajasthan,Kharif,Rice,99.01,60.12,28.77,6.99,27.0,59.84,171.44,Clay,Rainfed,22.94,0.56,Moderate
2015,Rajasthan,Kharif,Rice,89.38,40.65,34.45,6.48,30.87,74.55,154.49,Loamy,Rainfed,28.49,0.61,Moderate
2015,Rajasthan,Kharif,Rice,88.96,59.49,42.03,6.04,28.29,41.68,198.86,Loamy,Irrigated,25.04,0.66,Moderate
2015,Rajasthan,Kharif,Bajra,106.69,59.88,60.1,6.71,28.16,46.12,191.43,Sandy,Irrigated,12.98,0.48,Poor
2015,Rajasthan,Kharif,Bajra,89.65,53.36,39.84,7.39,27.81,49.67,251.78,Loamy,Irrigated,33.12,0.59,Moderate
2015,Rajasthan,Kharif,Bajra,136.93,58.76,36.41,7.1,28.53,60.44,207.28,Sandy,Irrigated,25.85,0.66,Moderate
2015,Rajasthan,Kharif,Bajra,127.64,59.73,38.33,6.87,31.52,60.67,226.77,Loamy,Rainfed,27.97,0.6,Moderate
2015,Rajasthan,Kharif,Cotton,125.57,52.87,40.46,6.12,31.11,46.07,181.15,Clay,Rainfed,23.38,0.62,Moderate
