Year,Region,Season,Crop,N,P,K,pH,Temperature,Humidity,Rainfall,SoilType,Irrigation,Moisture,CropHealthIndex,CropHealthLabel
2015,Punjab,Rabi,Wheat,130.46,46.49,37.66,7.59,16.49,68.62,75.91,Clay,Irrigated,24.84,0.56,Moderate
2015,Punjab,Rabi,Wheat,104.84,21.3,22.75,6.52,16.63,65.37,31.37,Sandy,Rainfed,10.95,0.36,Poor
2015,Punjab,Rabi,Wheat,95.48,51.01,25.75,6.53,12.28,55.88,108.63,Clay,Rainfed,19.99,0.42,Poor
2015,Punjab,Rabi,Wheat,87.97,77.78,39.87,6.27,16.13,63.99,38.33,Sandy,Irrigated,20.06,0.5,Moderate
2015,Punjab,Rabi,Mustard,103.94,61.08,41.71,6.74,15.63,50.4,0,Loamy,Rainfed,11.58,0.41,Poor
2015,Punjab,Rabi,Mustard,106.87,23.55,43.24,6.61,12.84,65.39,92.28,Sandy,Rainfed,14.46,0.46,Poor
2015,Punjab,Rabi,Mustard,93.82,54.97,49.76,6.56,18.09,79.31,16.43,Loamy,Irrigated,18.43,0.48,Poor
2015,Punjab,Rabi,Mustard,98.56,65.05,43.62,6.48,11.41,78.13,104.25,Loamy,Irrigated,23.56,0.67,Moderate
2015,Punjab,Rabi,Barley,116.44,51.31,37.01,6.85,14.89,85.65,0,Clay,Rainfed,12.19,0.46,Poor
2015,Punjab,Rabi,Barley,83.83,42.47,49.15,6.96,16.07,84.78,29.27,Sandy,Rainfed,17.19,0.51,Moderate
2015,Punjab,Rabi,Barley,93.45,44.12,25.36,6.95,15.29,79.69,21.92,Loamy,Rainfed,20.9,0.46,Poor
2015,Punjab,Rabi,Barley,93.15,37.97,38.39,7,14.3,55.85,33.17,Loamy,Rainfed,24.6,0.52,Moderate
2015,Punjab,Kharif,Rice,99.47,50.9,64.63,6.7,30.77,69.26,103.25,Clay,Irrigated,23.46,0.62,Moderate
2015,Punjab,Kharif,Rice,115.82,36.36,54.03,6.1,26.49,81.43,210.08,Clay,Irrigated,30.52,0.74,Moderate
2015,Punjab,Kharif,Rice,89.93,26.74,40.69,6.27,27.03,64.34,183.99,Loamy,Rainfed,23.75,0.44,Poor
2015,Punjab,Kharif,Rice,116.27,31.54,42.27,7.45,34.65,62.17,167.12,Loamy,Rainfed,12.41,0.45,Poor
2015,Punjab,Kharif,Bajra,73.59,57.83,42.97,6.93,30.78,77.82,130.52,Loamy,Rainfed,24.21,0.51,Moderate
2015,Punjab,Kharif,Bajra,137.32,57.11,28.09,7.13,30.7,72.93,151.43,Sandy,Rainfed,16.26,0.56,Moderate
2015,Punjab,Kharif,Bajra,108.26,62.33,58.97,6.68,33.48,61.79,218.54,Sandy,Irrigated,17.15,0.54,Moderate
2015,Punjab,Kharif,Bajra,105.53,62.41,40.13,7.53,27.55,69.23,193.65,Sandy,Rainfed,20.33,0.69,Moderate
2015,Punjab,Kharif,Cotton,109.65,46.65,47.14,7.04,31.88,61.43,137.16,Loamy,Rainfed,19.04,0.49,Poor
2015,Punjab,Kharif,Cotton,104.28,31.31,41.73,6.99,25.46,65.53,214.26,Clay,Irrigated,20.12,0.5,Poor
2015,Punjab,Kharif,Cotton,111.22,66.25,50.54,6.11,30.17,58.57,194.31,Sandy,Irrigated,14.85,0.58,Moderate
